File,Is Malware,Malware Type,Analysis Method,Processing Time
attention.pdf,CLEAN,Unknown,Hybrid,0.03s
circularlist.exe,CLEAN,Unknown,Hybrid,14.29s
Hello.exe,CLEAN,Unknown,Hybrid,43.70s
node.exe,CLEAN,Unknown,Hybrid,12.28s
