File,Is Malware,Malware Type,Analysis Method,Processing Time
attention.pdf,CLEAN,Unknown,Hybrid,0.03s
circularlist.exe,CLEAN,Unknown,Hybrid,16.84s
node.exe,CLEAN,Unknown,Hybrid,14.60s
Str.class,CLEAN,Unknown,Hybrid,0.02s
