File,Hash,Is Malware,Confidence,Malware Type,Risk Score,Analysis Method,Processing Time
SANDEEP_KUMAR_PARSHURAM_TIWARI.pdf,7130d759353e59d8...,True,0.44,Generic,44,"Document,Type",2.29s
22SEP.pdf,1a3afa11386f9b25...,False,0.00,Clean,0,"Document,Type",2.30s
