File,Is Malware,Malware Type,Analysis Method,Processing Time
attention.pdf,CLEAN,Unknown,Hybrid,0.03s
circularlist.exe,CLEAN,Unknown,Hybrid,15.41s
Hello.exe,CLEAN,Unknown,Hybrid,43.51s
node.exe,CLEAN,Unknown,Hybrid,13.46s
