File,Is Malware,Malware Type,Analysis Method,Processing Time
attention.pdf,CLEAN,Unknown,Hybrid,0.00s
circularlist.exe,CLEAN,Unknown,Hybrid,13.12s
node.exe,CLEAN,Unknown,Hybrid,13.40s
Malware.Calc.exe,MALWARE,Generic,Hybrid,12.94s
