File,Is Malware,Malware Type,Analysis Method,Processing Time
attention.pdf,CLEAN,Unknown,Hybrid,0.00s
circularlist.exe,CLEAN,Unknown,Hybrid,13.73s
node.exe,CLEAN,Unknown,Hybrid,13.45s
Str.class,CLEAN,Unknown,Hybrid,0.00s
Malware.Calc.exe.exe,MALWARE,Generic,Hybrid,12.44s
